Course Sections Id,Sec Name,Sec Short Title,Sec Min Cred,Sec Max Cred,Faculty First Initial & Last CSV,Sec Start Date,Sec End Date,Sec Status,Sec Printed Comments,Sec Meeting Info,Crs Desc,Course Types CSV
95711,ANTH-101-A,Cultural Anthropology,4,,L.Stanley,9/2/2015 0:00:00,12/17/2015 0:00:00,A,,"09/02/2015-12/17/2015 Lecture Monday, Wednesday, Friday 08:00AM - 09:00AM, Koren, Room 216","A study in what it means to be human, this course uses the concept of culture to account for the tremendous variety of practices and beliefs throughout the world. Students will also examine patterns in human behavior, addressing cultural similarities as well as cultural differences. Course content provides insight into how cultural anthropologists do what they do - what methods they use to study culture and what ethical issues they may encounter while doing so. Students will be expected to engage some of these anthropological methods by completing a series of ethnographic exercises.  Through the study of anthropological works and practice with ethnographic methods, the course will prepare students to apply the anthropological approach as they navigate an increasingly diverse and globalized world.","FY,GL,SS,PBK,HBSSM,INTCL,ENVMJ"
95712,ANTH-101-B,Cultural Anthropology,4,,L.Stanley,9/2/2015 0:00:00,12/17/2015 0:00:00,A,,"09/02/2015-12/17/2015 Lecture Monday, Wednesday, Friday 09:15AM - 10:15AM, Koren, Room 216","A study in what it means to be human, this course uses the concept of culture to account for the tremendous variety of practices and beliefs throughout the world. Students will also examine patterns in human behavior, addressing cultural similarities as well as cultural differences. Course content provides insight into how cultural anthropologists do what they do - what methods they use to study culture and what ethical issues they may encounter while doing so. Students will be expected to engage some of these anthropological methods by completing a series of ethnographic exercises.  Through the study of anthropological works and practice with ethnographic methods, the course will prepare students to apply the anthropological approach as they navigate an increasingly diverse and globalized world.","FY,GL,SS,PBK,HBSSM,INTCL,ENVMJ"
95713,ANTH-101-C,Cultural Anthropology,4,,A.Carrasco,9/2/2015 0:00:00,12/17/2015 0:00:00,A,,"09/02/2015-12/17/2015 Lecture Monday, Wednesday, Friday 11:00AM - 12:00PM, Koren, Room 217","A study in what it means to be human, this course uses the concept of culture to account for the tremendous variety of practices and beliefs throughout the world. Students will also examine patterns in human behavior, addressing cultural similarities as well as cultural differences. Course content provides insight into how cultural anthropologists do what they do - what methods they use to study culture and what ethical issues they may encounter while doing so. Students will be expected to engage some of these anthropological methods by completing a series of ethnographic exercises.  Through the study of anthropological works and practice with ethnographic methods, the course will prepare students to apply the anthropological approach as they navigate an increasingly diverse and globalized world.","FY,GL,SS,PBK,HBSSM,INTCL,ENVMJ"
95714,ANTH-101-D,Cultural Anthropology,4,,M.Bazylevych,9/2/2015 0:00:00,12/17/2015 0:00:00,A,,"09/02/2015-12/17/2015 Lecture Monday, Wednesday, Friday 01:30PM - 02:30PM, Koren, Room 218","A study in what it means to be human, this course uses the concept of culture to account for the tremendous variety of practices and beliefs throughout the world. Students will also examine patterns in human behavior, addressing cultural similarities as well as cultural differences. Course content provides insight into how cultural anthropologists do what they do - what methods they use to study culture and what ethical issues they may encounter while doing so. Students will be expected to engage some of these anthropological methods by completing a series of ethnographic exercises.  Through the study of anthropological works and practice with ethnographic methods, the course will prepare students to apply the anthropological approach as they navigate an increasingly diverse and globalized world.","FY,GL,SS,PBK,HBSSM,INTCL,ENVMJ"
96742,REL-111-A,Intro to Hebrew Bible Studies,4,,A.Henning,9/2/2015 0:00:00,12/17/2015 0:00:00,A,,"09/03/2015-12/10/2015 Lecture Tuesday, Thursday 11:00AM - 12:30PM, Main, Room 113","An introduction to the academic study of the literature of the Hebrew Bible and Apocrypha/Deutero-canon with an emphasis on selected writings, themes, and methods of interpretation. Students will also become familiar with extra-biblical sources (textual and archaeological) which contribute to understanding the Hebrew Bible and Apocrypha/Deutero-canon in their historical, socio-economic, theological, and literary contexts.  Students who earn credit for REL 111 may earn credit for REL 112 but not for REL 101.","BL,RP,PBK,REL"
96744,REL-111-B,Intro to Hebrew Bible Studies,4,,A.Henning,9/2/2015 0:00:00,12/17/2015 0:00:00,A,,"09/03/2015-12/10/2015 Lecture Tuesday, Thursday 02:30PM - 04:00PM, Main, Room 212","An introduction to the academic study of the literature of the Hebrew Bible and Apocrypha/Deutero-canon with an emphasis on selected writings, themes, and methods of interpretation. Students will also become familiar with extra-biblical sources (textual and archaeological) which contribute to understanding the Hebrew Bible and Apocrypha/Deutero-canon in their historical, socio-economic, theological, and literary contexts.  Students who earn credit for REL 111 may earn credit for REL 112 but not for REL 101.","BL,RP,PBK,REL"
96528,PSYC-490-A,Senior Project,1,,"D.Bishop,J.Breitenstein,K.Gould,L.Toussaint,S.Travers,J.Sprung",9/2/2015 0:00:00,12/17/2015 0:00:00,A,,"09/02/2015-12/17/2015 Independent Studies Days to be Announced, Times to be AnnouncedArranged, Room ARR",,PBK
96855,PSYC-493-A,Senior Honors Project,0,,"J.Breitenstein,D.Njus",9/2/2015 0:00:00,12/17/2015 0:00:00,A,,"09/02/2015-12/17/2015 Independent Studies Days to be Announced, Times to be AnnouncedArranged, Room ARR","A year-long independent research project. Applications are completed on the ""Honors Program"" form available at the registrar's office, requiring the signatures of a faculty supervisor, the department head, the honors program director, and the registrar. Interdisciplinary projects require the signatures of two faculty supervisors. The project must be completed by the due date for senior projects. The completed project is evaluated by a review committee consisting of the faculty supervisor, another faculty member from the major department, and a faculty member from outside the major department. All projects must be presented publicly. Only projects awarded an ""A- or A"" qualify for ""department honors"" designation. The honors project fulfills the all-college senior project requirement.","HON,PBK"
96734,ANTH-102-A,Biological Anthropology,4,,C.Betts,9/2/2015 0:00:00,12/17/2015 0:00:00,A,,"09/02/2015-12/11/2015 Lecture Monday, Wednesday, Friday 09:15AM - 10:15AM, Koren, Room 218","Biological anthropology focuses primarily on the physical development of the human species.  This course serves as an introduction to the various lines of inquiry that comprise this sub-field of anthropology.  Primary topics include a survey of human biological and cultural evolution, genetics and the mechanics of evolution, non-human primates, and forensic anthropology.","FY,SS,PBK,HBSSM,ENVMJ"
96556,RUS-101-A,Beginning Russian I,4,,L.Iudin-Nelson,9/2/2015 0:00:00,12/17/2015 0:00:00,A,,"09/02/2015-12/17/2015 Lecture Monday, Wednesday, Friday 09:15AM - 10:15AM, Main, Room 211","Introduction to Russian grammar through reading, writing, listening, and speaking in Russian. The course will focus upon developing speaking and listening comprehension skills with a framework of practical vocabulary and grammatical structures. The student will also gain an appreciation of Russian culture and contemporary life through music and audiovisual materials.",PBK
