Course Sections Id,Sec Name,Sec Short Title,Sec Min Cred,Sec Max Cred,Faculty First Initial & Last CSV,Sec Start Date,Sec End Date,Sec Status,Sec Printed Comments,Sec Meeting Info,Crs Desc,Course Types CSV,Corequisite,Prerequisite
98483,ANTH-101-B,Cultural Anthropology,4,,L.Stanley,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Lecture Monday, Wednesday, Friday 09:15AM - 10:15AM, Koren, Room 216","A study in what it means to be human, this course uses the concept of culture to account for the tremendous variety of practices and beliefs throughout the world. Students will also examine patterns in human behavior, addressing cultural similarities as well as cultural differences. Course content provides insight into how cultural anthropologists do what they do - what methods they use to study culture and what ethical issues they may encounter while doing so. Students will be expected to engage some of these anthropological methods by completing a series of ethnographic exercises.  Through the study of anthropological works and practice with ethnographic methods, the course will prepare students to apply the anthropological approach as they navigate an increasingly diverse and globalized world.","FY,GL,SS,PBK,HBSSM,INTCL,ENVMJ",,
98485,ANTH-101-D,Cultural Anthropology,4,,,8/31/16 0:00,12/15/16 0:00,P,,,"A study in what it means to be human, this course uses the concept of culture to account for the tremendous variety of practices and beliefs throughout the world. Students will also examine patterns in human behavior, addressing cultural similarities as well as cultural differences. Course content provides insight into how cultural anthropologists do what they do - what methods they use to study culture and what ethical issues they may encounter while doing so. Students will be expected to engage some of these anthropological methods by completing a series of ethnographic exercises.  Through the study of anthropological works and practice with ethnographic methods, the course will prepare students to apply the anthropological approach as they navigate an increasingly diverse and globalized world.","FY,GL,SS,PBK,HBSSM,INTCL,ENVMJ",,
98586,CHEM-151L-03,Chemical Principles I Lab,0,,A.Winsauer,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Lab Tuesday 11:00AM - 01:00PM, Sampson Hoffland Laboratories, Room 372",,PBK,Take CHEM-151,
98588,CHEM-151L-05,Chemical Principles I Lab,0,,A.Winsauer,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Lab Tuesday 02:30PM - 04:30PM, Sampson Hoffland Laboratories, Room 233",,PBK,Take CHEM-151,
98591,CHEM-151L-08,Chemical Principles I Lab,0,,A.Winsauer,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Lab Thursday 11:00AM - 01:00PM, Sampson Hoffland Laboratories, Room 372",,PBK,Take CHEM-151,
99387,SW-403-A,Professional Seminar,4,,G.Meyette,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Seminar Days to be Announced, Times to be AnnouncedArranged, Room ARR","Emphasis on integration of previous course content and the application of social work ethics, values, skills, and knowledge. Work-related issues of field placement are studied in preparation for generalist social work practice. Students give presentations to the class based upon their field learning. Taken concurrently with SW 402. Prerequisites: all courses required for the major and consent of instructor.",HBSSM,,    Take SW-101 SW-102 SW-201(1140) SW-204 SW-301 SW-303     SW-304 SW-305 (OR SOC-301) AND SW-401;
99366,SPAN-201-C,Intermediate Spanish,4,,A.Alonso Estenoz,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Lecture Monday, Wednesday, Friday 11:00AM - 12:00PM, Main, Room 213",This course is for students who have successfully completed at least one year of college-level Spanish or the equivalent.,PBK,,SPAN 102 or recommended placement.
99368,SPAN-201-E,Intermediate Spanish,4,,,8/31/16 0:00,12/15/16 0:00,P,,,This course is for students who have successfully completed at least one year of college-level Spanish or the equivalent.,PBK,,SPAN 102 or recommended placement.
99290,PSYC-244-A,Animal Cognition,4,,K.Gould,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Lecture Monday, Wednesday, Friday 01:30PM - 02:30PM, Valders, Room 345","This course is an introduction to the study of cognition in animals, including how animals perceive, think, learn, remember, and communicate. We will explore these issues within both psychological and biological frameworks, and will include topics such as evolution of intelligence, cognition as adaptation, animal consciousness, and language in apes. An emphasis on comparing animal cognitive processes to human cognition will be part of the course.","NWNL,PBK,NSNL",,PSYC 130.
98973,MUS-230-A,Private Instruction-Oboe,1,2,H.Armstrong,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Private Instruction Days to be Announced, Times to be AnnouncedArranged, Room ARR",For music majors and minors in their second year of study.  Non-majors and music majors in their secondary areas may register for this course with consent of instructor.  Studio seminars may be required.  Prerequisite: music major or music minor with 2 semesters of 130 (Private Instruction).  Additional fees will be assessed for this course.,"PRIV,PBK,LES15",,
99033,MUS-300-A,Music Ensemble: Aurora,0,,J.Robison,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Music Ensemble Monday, Wednesday, Friday 01:30PM - 02:30PM, Jenson Noble Hall of Music, Room CHOIR",,,,
99035,MUS-300-A,Music Ensemble: Cantorei,0,,J.Wilson,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Music Ensemble Monday 04:00PM - 05:00PM, Jenson Noble Hall of Music, Room NRH (more)...",,,,
