"Course Sections Id","Sec Name","Course Sec Meeting Id","Csm Start Date","Csm End Date","Csm Bldg","Csm Room","Csm Start Time","Csm End Time","Csm Monday","Csm Tuesday","Csm Wednesday","Csm Thursday","Csm Friday","Csm Saturday","Csm Sunday","Csm Frequency","Sec Status","Csm Days"
"99281","PSYC-130-A","59847","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","375","1900/01/01 08:00:00","1900/01/01 09:00:00","Y","","Y","","Y","","","W","A","MWF"
"99282","PSYC-130-B","59848","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","375","1900/01/01 09:15:00","1900/01/01 10:15:00","Y","","Y","","Y","","","W","A","MWF"
"99283","PSYC-130-C","59849","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","350","1900/01/01 12:15:00","1900/01/01 13:15:00","Y","","Y","","Y","","","W","A","MWF"
"99284","PSYC-130-D","59850","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","345","1900/01/01 08:00:00","1900/01/01 09:30:00","","Y","","Y","","","","W","A","TR"
"99285","PSYC-130-E","59851","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","252","1900/01/01 11:00:00","1900/01/01 12:30:00","","Y","","Y","","","","W","A","TR"
"98836","MATH-110-A","59852","2016/08/31 00:00:00","2016/12/15 00:00:00","OLIN","108","1900/01/01 08:00:00","1900/01/01 09:00:00","Y","","Y","","Y","","","W","A","MWF"
"98837","MATH-115-A","59853","2016/08/31 00:00:00","2016/12/15 00:00:00","OLIN","106","1900/01/01 08:00:00","1900/01/01 09:00:00","Y","","Y","","Y","","","W","A","MWF"
"99286","PSYC-240-A","59854","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","254","1900/01/01 08:00:00","1900/01/01 09:00:00","Y","","Y","","Y","","","W","A","MWF"
"98838","MATH-115-B","59855","2016/08/31 00:00:00","2016/12/15 00:00:00","OLIN","104","1900/01/01 12:15:00","1900/01/01 13:15:00","Y","","Y","","Y","","","W","A","MWF"
"99287","PSYC-240-B","59856","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","254","1900/01/01 09:15:00","1900/01/01 10:15:00","Y","","Y","","Y","","","W","A","MWF"
"99288","PSYC-241-A","59858","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","252","1900/01/01 14:30:00","1900/01/01 16:00:00","","Y","","Y","","","","W","A","TR"
"99290","PSYC-244-A","59859","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","345","1900/01/01 13:30:00","1900/01/01 14:30:00","Y","","Y","","Y","","","W","A","MWF"
"98839","MATH-123-A","59860","2016/08/31 00:00:00","2016/12/15 00:00:00","OLIN","201","1900/01/01 12:15:00","1900/01/01 13:15:00","Y","","Y","","Y","","","W","A","MWF"
"98840","MATH-123-B","59861","2016/08/31 00:00:00","2016/12/15 00:00:00","OLIN","201","1900/01/01 13:30:00","1900/01/01 14:30:00","Y","","Y","","Y","","","W","A","MWF"
"99413","MATH-140-A","59862","2016/08/31 00:00:00","2016/12/15 00:00:00","OLIN","104","1900/01/01 08:00:00","1900/01/01 09:00:00","Y","","Y","","Y","","","W","A","MWF"
"99414","MATH-140-B","59863","2016/08/31 00:00:00","2016/12/15 00:00:00","OLIN","104","1900/01/01 09:15:00","1900/01/01 10:15:00","Y","","Y","","Y","","","W","A","MWF"
"99415","MATH-140-C","59864","2016/08/31 00:00:00","2016/12/15 00:00:00","OLIN","104","1900/01/01 11:00:00","1900/01/01 12:00:00","Y","","Y","","Y","","","W","A","MWF"
"99416","MATH-140-D","59865","2016/08/31 00:00:00","2016/12/15 00:00:00","OLIN","106","1900/01/01 12:15:00","1900/01/01 13:15:00","Y","","Y","","Y","","","W","A","MWF"
"99417","MATH-140-E","59866","2016/08/31 00:00:00","2016/12/15 00:00:00","OLIN","104","1900/01/01 13:30:00","1900/01/01 14:30:00","Y","","Y","","Y","","","W","A","MWF"
"99418","MATH-140-F","59867","2016/08/31 00:00:00","2016/12/15 00:00:00","OLIN","104","1900/01/01 14:45:00","1900/01/01 15:45:00","Y","","Y","","Y","","","W","A","MWF"
"98847","MATH-151-A","59868","2016/08/31 00:00:00","2016/12/15 00:00:00","OLIN","105","1900/01/01 08:00:00","1900/01/01 09:00:00","Y","","Y","","Y","","","W","A","MWF"
"98848","MATH-151-B","59869","2016/08/31 00:00:00","2016/12/15 00:00:00","OLIN","106","1900/01/01 09:15:00","1900/01/01 10:15:00","Y","","Y","","Y","","","W","A","MWF"
"98849","MATH-151-C","59870","2016/08/31 00:00:00","2016/12/15 00:00:00","OLIN","106","1900/01/01 11:00:00","1900/01/01 12:00:00","Y","","Y","","Y","","","W","A","MWF"
"98850","MATH-151-D","59871","2016/08/31 00:00:00","2016/12/15 00:00:00","OLIN","105","1900/01/01 14:45:00","1900/01/01 15:45:00","Y","","Y","","Y","","","W","A","MWF"
"98852","MATH-152-A","59872","2016/08/31 00:00:00","2016/12/15 00:00:00","OLIN","113","1900/01/01 08:00:00","1900/01/01 09:00:00","Y","","Y","","Y","","","W","A","MWF"
