"Course Sections Id","Sec Name","Sec Short Title","Sec Min Cred","Sec Max Cred","Faculty First Initial & Last CSV","Sec Start Date","Sec End Date","Sec Status","Sec Printed Comments","Sec Meeting Info","Crs Desc","Course Types CSV"
"97148","ACCTG-354-A","Intermediate Accounting II","4","","R.Nelson","2016/02/04 00:00:00","2016/05/19 00:00:00","A","","02/04/2016-05/19/2016 Lecture Monday, Wednesday, Friday 12:15PM - 01:15PM, Olin, Room 208","Further coverage of financial accounting concepts and practice. Includes intensive coverage of the stockholders' equity section of the balance sheet, the statement of changes in financial position, and other special topics, including pension costs, leases, and income tax allocation.",""
"97962","PSYC-468-A","Intro to Counseling","4","","J.Breitenstein","2016/02/04 00:00:00","2016/05/19 00:00:00","A","","02/04/2016-05/19/2016 Lecture Tuesday, Thursday 08:00AM - 09:30AM, Valders, Room 345","An introduction to models of counseling with emphasis on selected processes and skills necessary to apply the models in a variety of settings. One class meeting per week is devoted to practice of skills. Other topics include professional ethics and the efficacy of major models of counseling.",""
"97963","PSYC-468-B","Intro to Counseling","4","","J.Breitenstein","2016/02/04 00:00:00","2016/05/19 00:00:00","A","","02/04/2016-05/19/2016 Lecture Tuesday, Thursday 11:00AM - 12:30PM, Valders, Room 345","An introduction to models of counseling with emphasis on selected processes and skills necessary to apply the models in a variety of settings. One class meeting per week is devoted to practice of skills. Other topics include professional ethics and the efficacy of major models of counseling.",""
"97161","ANTH-101-A","Cultural Anthropology","4","","L.Stanley","2016/02/04 00:00:00","2016/05/19 00:00:00","A","","02/04/2016-05/19/2016 Lecture Monday, Wednesday, Friday 09:15AM - 10:15AM, Koren, Room 216","A study in what it means to be human, this course uses the concept of culture to account for the tremendous variety of practices and beliefs throughout the world. Students will also examine patterns in human behavior, addressing cultural similarities as well as cultural differences. Course content provides insight into how cultural anthropologists do what they do - what methods they use to study culture and what ethical issues they may encounter while doing so. Students will be expected to engage some of these anthropological methods by completing a series of ethnographic exercises.  Through the study of anthropological works and practice with ethnographic methods, the course will prepare students to apply the anthropological approach as they navigate an increasingly diverse and globalized world.","FY,GL,SS,PBK,HBSSM,INTCL,ENVMJ"
"97162","ANTH-101-B","Cultural Anthropology","4","","A.Carrasco","2016/02/04 00:00:00","2016/05/19 00:00:00","A","","02/04/2016-05/19/2016 Lecture Monday, Wednesday, Friday 11:00AM - 12:00PM, Koren, Room 217","A study in what it means to be human, this course uses the concept of culture to account for the tremendous variety of practices and beliefs throughout the world. Students will also examine patterns in human behavior, addressing cultural similarities as well as cultural differences. Course content provides insight into how cultural anthropologists do what they do - what methods they use to study culture and what ethical issues they may encounter while doing so. Students will be expected to engage some of these anthropological methods by completing a series of ethnographic exercises.  Through the study of anthropological works and practice with ethnographic methods, the course will prepare students to apply the anthropological approach as they navigate an increasingly diverse and globalized world.","FY,GL,SS,PBK,HBSSM,INTCL,ENVMJ"
"97163","ANTH-101-C","Cultural Anthropology","4","","M.Bazylevych","2016/02/04 00:00:00","2016/05/19 00:00:00","A","","02/04/2016-05/19/2016 Lecture Monday, Wednesday, Friday 01:30PM - 02:30PM, Valders, Room 254","A study in what it means to be human, this course uses the concept of culture to account for the tremendous variety of practices and beliefs throughout the world. Students will also examine patterns in human behavior, addressing cultural similarities as well as cultural differences. Course content provides insight into how cultural anthropologists do what they do - what methods they use to study culture and what ethical issues they may encounter while doing so. Students will be expected to engage some of these anthropological methods by completing a series of ethnographic exercises.  Through the study of anthropological works and practice with ethnographic methods, the course will prepare students to apply the anthropological approach as they navigate an increasingly diverse and globalized world.","FY,GL,SS,PBK,HBSSM,INTCL,ENVMJ"
"97976","REL-112-A","Intro to the New Test Studies","4","","G.Nave","2016/02/04 00:00:00","2016/05/19 00:00:00","A","First year students only.","02/04/2016-05/19/2016 Lecture Monday, Wednesday, Friday 12:15PM - 01:15PM, Main, Room 214","An introduction to the academic study of the literture of the New Testament with an emphasis on selected, writings, themes, and methods of interpretation. Students will also become familiar with extra-biblical sources (textual and archaeological) which contribute to understanding the New Testament in its historical, socio-economic, theological, and literary contexts. Students who earn credit for REL 112 may earn credit for REL 111 but not for REL 101.","BL,RP,PBK,REL"
"97965","PSYC-490-A","Senior Project","1","4","D.Bishop,J.Breitenstein,K.Gould,D.Njus,L.Toussaint,S.Travers,J.Sprung","2016/02/04 00:00:00","2016/05/19 00:00:00","A","","02/04/2016-05/19/2016 Independent Studies Days to be Announced, Times to be AnnouncedArranged, Room ARR","","PBK"
"98335","PSYC-493-A","Senior Honors Project","4","","J.Breitenstein,D.Njus","2016/02/04 00:00:00","2016/05/19 00:00:00","A","","02/04/2016-05/19/2016 Independent Studies Days to be Announced, Times to be AnnouncedArranged, Room ARR","A year-long independent research project. Applications are completed on the ""Honors Program"" form available at the registrar's office, requiring the signatures of a faculty supervisor, the department head, the honors program director, and the registrar. Interdisciplinary projects require the signatures of two faculty supervisors. The project must be completed by the due date for senior projects. The completed project is evaluated by a review committee consisting of the faculty supervisor, another faculty member from the major department, and a faculty member from outside the major department. All projects must be presented publicly. Only projects awarded an ""A- or A"" qualify for ""department honors"" designation. The honors project fulfills the all-college senior project requirement.","HON,PBK"
"97994","RUS-102-A","Beginning Russian II","4","","L.Iudin-Nelson","2016/02/04 00:00:00","2016/05/19 00:00:00","A","Completion of Russian 101 or consent of  instructor.","02/04/2016-05/19/2016 Lecture Monday, Wednesday, Friday 09:15AM - 10:15AM, Main, Room 211","Introduction to Russian grammar through reading, writing, listening, and speaking in Russian. The course will focus upon developing speaking and listening comprehension skills with a framework of practical vocabulary and grammatical structures. The student will also gain an appreciation of Russian culture and contemporary life through music and audiovisual materials.","PBK"
