,course_id,section_name,meeting_id,building_abb,room,monday,tuesday,wednesday,thursday,friday,saturday,sunday,frequency,section_status,days,section_title,min_credits,faculty_name,meeting_info,course_description,building_names,faculty_first,faculty_last,division,department_abbreviation,department_name,course_num,seven_week,term,start_date,end_date,start_time,end_time,gen_ed_abb,gen_ed_names,same_as,max_credits,also_fulfills,section_comments,pre_reqs,co_reqs,lab,c_id
0,98077,FCUL-142-A,58488.0,LARS,120,,Y,,Y,,,,W,A,TR,China in the World,4,L.Lu,"02/04/2016-05/12/2016 Lecture Tuesday, Thursday 02:30PM - 04:00PM, Larsen, Room 120","This course explores the importance of China in a rapidly globalized world from an intercultural perspective. Students are invited to examine how China interacts with the world, and vice versa, through a variety of issues. The course begins with an interdisciplinary project that offers students a gateway to explore the global presence of China.  After a comparative study of origin myth and flood in China and the West, the course continues with an examination of cross-cultural education, during which students will complete an interview project.  Both Chinese cuisine and topic of ""made in China"" will be essential parts of this course, but students will also be able to explore topics of personal interest, such as Hollywood's representation of Chinese culture, international adoption or the Dalai Lama.  With class discussion and student-led projects, this interdisciplinary course will provide a basic understanding of Chinese culture and tradition.",Larson Hall,L,Lu,Social Sciences,FCUL,Foreign Culture,142,0,Spring 2016,2016/02/04,2016/05/19,14:30,16:00,INTCL,Intercultural,,0.0,,,,,,781
1,98078,FCUL-243-A,58489.0,MAIN,212,,Y,,Y,,,,W,A,TR,Time of Stalin,4,J.Conrad,"02/04/2016-05/12/2016 Lecture Tuesday, Thursday 12:45PM - 02:15PM, Main, Room 212","This course, through the medium of literature and memoirs, focuses on Russia/Soviet Union in the early years after the Bolshevik Revolution (1917) until Gorbachev's glasnost' and perestroika. Students will learn about the rise of Stalin, the time of terror and purges at the height of Stalin's regime (mid-1930's), WWII, the ""Thaw"" after Stalin's death in 1953, and the implications Stalinism has on present-day Russia. We will seek answers to the questions of how Stalin was allowed to rise to power, retain political control, and instigate policies that caused the deaths of approximately 20 million Soviet citizens - many of whom were Bolsheviks and loyal members of the Communist Party.  Literary readings include memoirs, poetry, and novels.  A significant part of the course concerns the role of women in the Bolshevik Revolution and their fate under Stalinism. This course fulfills requirements of international studies, women and gender studies, and Russian studies. The course is taught in English and readings are in English. Advanced Russian language students who have completed RUS 202 may elect to enroll in RUS 243 for supplementary assignments in Russian. Offered on a rotating basis. (Same as WGST 243.)",Main Building,J,Conrad,Social Sciences,FCUL,Foreign Culture,243,0,Spring 2016,2016/02/04,2016/05/19,12:45,14:15,"HEPT,HIST,INTCL","Human Expression Primary Text,Historical,Intercultural",WGST 243,0.0,HE,Course is taught in English.Students who have completed Russian 202 may enroll in Russian 243 for additional coursework  in Russian.,,,,546
2,98079,WGST-243-A,58490.0,MAIN,212,,Y,,Y,,,,W,A,TR,Time of Stalin,4,J.Conrad,"02/04/2016-05/12/2016 Lecture Tuesday, Thursday 12:45PM - 02:15PM, Main, Room 212","This course, through the medium of literature and memoirs, focuses on Russia/Soviet Union in the early years after the Bolshevik Revolution (1917) until Gorbachev's glasnot and perestroika. Students will learn about the rise of Stalin, the time of terror and purges at the height of Stalin's regime (mid 1930s), WWII, the ""Thaw"" after Stalin's death in 1953, and the implications Stalinism has on present-day Russia.  We will seek answers to the questions of how Stalin was allowed to rise to power, retain political control, and instigate policies that caused the deaths of approximately 20 million Soviet citizens - many of whom were Bolsheviks and loyal members of the Communist Party.  Literary readings include memoirs, poetry, and novels.  A significant part of the course concerns the role of women in the Bolshevik Revolution and their fate under Stalinism. This course fulfills requirements of international studies, women and gender studies, and Russian studies. This course is taught in English and readings are in English. Offered alternate years.(Same as FCUL 243.)",Main Building,J,Conrad,Social Sciences,WGST,Women's Gender Studies,243,0,Spring 2016,2016/02/04,2016/05/19,12:45,14:15,"INTCL,HIST,HEPT","Intercultural,Historical,Human Expression Primary Text",FCUL 243,0.0,HE,Course is taught in English. Students who have completed Russian 202 may enroll in Russian 243 for additional coursework  in Russian.,,,,693
3,97283,CHIN-102-A,58491.0,MAIN,116A,Y,,Y,,Y,,,W,A,MWF,Beginning Chinese,4,L.Lu,"02/05/2016-05/13/2016 Lecture Monday, Wednesday, Friday 02:45PM - 03:45PM, Main, Room 116A","This course offers an introduction to speaking, reading, listening to, and writing Chinese. Through the study of the language, the student will also gain an appreciation of Chinese culture and contemporary life.",Main Building,L,Lu,Humanities,CHIN,Chinese,102,0,Spring 2016,2016/02/04,2016/05/19,14:45,15:45,,,,0.0,,,,,,709
4,97284,CHIN-202-A,58492.0,MAIN,116A,Y,,Y,,Y,,,W,A,MWF,Intermediate Chinese,4,L.Lu,"02/04/2016-05/19/2016 Lecture Monday, Wednesday, Friday 01:30PM - 02:30PM, Main, Room 116A","A continuation of the study of Mandarin Chinese: grammar, writing, speaking, reading and listening comprehension.  Speaking proficiency will be developed through active class participation.  The use of authentic materials (video, music, texts) will enhance language skills and cultural knowledge.",Main Building,L,Lu,Humanities,CHIN,Chinese,202,0,Spring 2016,2016/02/04,2016/05/19,13:30,14:30,,,,0.0,,,,,,713
5,97419,FREN-101-A,58493.0,MAIN,217,Y,,Y,,Y,,,W,A,MWF,Elementary French I,4,P.Russella,"02/04/2016-05/19/2016 Lecture Monday, Wednesday, Friday 09:15AM - 10:15AM, Main, Room 217","A practical approach to the French language, in which the student begins speaking French from the first day and completes the year with a basic ability to speak, write, read, and understand French.",Main Building,P,Russella,Humanities,FREN,French,101,0,Spring 2016,2016/02/04,2016/05/19,09:15,10:15,,,,0.0,,,,,,642
6,97420,FREN-102-A,58494.0,VALD,371,Y,,Y,,Y,,,W,A,MWF,Elementary French II,4,P.Russella,"02/04/2016-05/19/2016 Lecture Monday, Wednesday, Friday 11:00AM - 12:00PM, Valders, Room 371","A practical approach to the French language, in which the student begins speaking French from the first day and completes the year with a basic ability to speak, write, read, and understand  French.",Valders Hall of Science,P,Russella,Humanities,FREN,French,102,0,Spring 2016,2016/02/04,2016/05/19,11:00,12:00,,,,0.0,,,,,,645
7,97292,COMS-130-A,58495.0,VALD,252,Y,,Y,,Y,,,W,A,MWF,Interpersonal Communication,4,S.Wilder,"02/04/2016-05/19/2016 Lecture Monday, Wednesday, Friday 12:15PM - 01:15PM, Valders, Room 252","A course dealing with the basic concepts of person-to-person communication, such as the relationship between verbal and nonverbal language, the intent and result of message sharing, the variables in communicative efforts.",Valders Hall of Science,S,Wilder,Social Sciences,COMS,Communications,130,0,Spring 2016,2016/02/04,2016/05/19,12:15,13:15,HB,Human Behavior,,0.0,,,,,,616
8,97293,COMS-130-B,58496.0,VALD,252,Y,,Y,,Y,,,W,A,MWF,Interpersonal Communication,4,S.Wilder,"02/04/2016-05/19/2016 Lecture Monday, Wednesday, Friday 01:30PM - 02:30PM, Valders, Room 252","A course dealing with the basic concepts of person-to-person communication, such as the relationship between verbal and nonverbal language, the intent and result of message sharing, the variables in communicative efforts.",Valders Hall of Science,S,Wilder,Social Sciences,COMS,Communications,130,0,Spring 2016,2016/02/04,2016/05/19,13:30,14:30,HB,Human Behavior,,0.0,,,,,,616
9,97421,FREN-102-B,58497.0,MAIN,217,,Y,,Y,,,,W,A,TR,Elementary French II,4,E.Nohaic,"02/04/2016-05/19/2016 Lecture Tuesday, Thursday 08:00AM - 09:30AM, Main, Room 217","A practical approach to the French language, in which the student begins speaking French from the first day and completes the year with a basic ability to speak, write, read, and understand  French.",Main Building,E,Nohaic,Humanities,FREN,French,102,0,Spring 2016,2016/02/04,2016/05/19,08:00,09:30,,,,0.0,,,,,,645
10,97294,COMS-132-A,58498.0,MAIN,116B,,Y,,Y,,,,W,A,TR,Public Address,4,K.Powell,"02/04/2016-05/19/2016 Lecture Tuesday, Thursday 08:00AM - 09:30AM, Main, Room 116B","A study of the principles of speech composition, organization, and delivery; emphasis on the role of public address in a democratic society. Each student gives a series of speeches.",Main Building,K,Powell,Social Sciences,COMS,Communications,132,0,Spring 2016,2016/02/04,2016/05/19,08:00,09:30,HE,Human Expression,,0.0,,,,,,617
11,97422,FREN-201-A,58499.0,VALD,371,Y,,Y,,Y,,,W,A,MWF,Intermediate French,4,P.Russella,"02/04/2016-05/19/2016 Lecture Monday, Wednesday, Friday 12:15PM - 01:15PM, Valders, Room 371","Review of structures through drills designed to develop skills, combined with individual practice in the language learning center. Graded readings chosen for their insights into French social and intellectual traits.",Valders Hall of Science,P,Russella,Humanities,FREN,French,201,0,Spring 2016,2016/02/04,2016/05/19,12:15,13:15,,,,0.0,,,,,,648
12,97295,COMS-132-B,58500.0,MAIN,116B,Y,,Y,,Y,,,W,A,MWF,Public Address,4,D.Sweet,"02/04/2016-05/19/2016 Lecture Monday, Wednesday, Friday 01:30PM - 02:30PM, Main, Room 116B","A study of the principles of speech composition, organization, and delivery; emphasis on the role of public address in a democratic society. Each student gives a series of speeches.",Main Building,D,Sweet,Social Sciences,COMS,Communications,132,0,Spring 2016,2016/02/04,2016/05/19,13:30,14:30,HE,Human Expression,,0.0,,,,,,617
13,97423,FREN-202-A,58501.0,MAIN,111,,Y,,Y,,,,W,A,TR,Intermediate French,4,A.Feat,"02/04/2016-05/19/2016 Lecture Tuesday, Thursday 12:45PM - 02:15PM, Main, Room 111","Review of structures through drills designed to develop skills, combined with individual practice in the language learning center. Graded readings chosen for their insights into French social and intellectual traits.",Main Building,A,Feat,Humanities,FREN,French,202,0,Spring 2016,2016/02/04,2016/05/19,12:45,14:15,,,,0.0,,,,,,650
14,98080,COMS-342-A,58502.0,MAIN,116B,,Y,,Y,,,,W,A,TR,Feminist Rhetorical Theories,4,K.Powell,"02/04/2016-05/19/2016 Lecture Tuesday, Thursday 11:00AM - 12:30PM, Main, Room 116B","This course is a study of feminist rhetorical theories and expression. The class reads texts by feminist rhetorical theorists and rhetors. Special emphasis is placed on the intersection between social, cultural and economic contexts, political influences, and rhetorical strategies of women rhetors challenging Western patriarchy. This course applies toward the theory requirement for the WGST major. Offered alternate years. (Same as WGST 342)",Main Building,K,Powell,Social Sciences,COMS,Communications,342,0,Spring 2016,2016/02/04,2016/05/19,11:00,12:30,"HE,HBSSM,HIST","Human Expression,Human Behavior Social Science Methods,Historical",WGST 342,0.0,HB,,,,,609
15,97424,FREN-345-A,58503.0,OLIN,104,,Y,,Y,,,,W,A,TR,Conversation and Phonetics,4,P.Russella,"02/04/2016-05/19/2016 Lecture Tuesday, Thursday 12:45PM - 02:15PM, Olin, Room 104",A course for advanced students wishing to increase their fluency through daily conversation on topics of current interest.  A systematic review of problems in French pronunciation is included. Offered on a rotating basis.,Olin,P,Russella,Humanities,FREN,French,345,0,Spring 2016,2016/02/04,2016/05/19,12:45,14:15,,,,0.0,,,,,,680
16,98081,FREN-346-A,58504.0,MAIN,211,,Y,,Y,,,,W,A,TR,Intro to French Literature I,4,A.Feat,"02/04/2016-05/19/2016 Lecture Tuesday, Thursday 02:30PM - 04:00PM, Main, Room 211","Historical survey of French literature from the earliest texts to the end of the 17th century. Emphasis on the development of literary forms, including the epic, drama, lyrical poetry and narrative literature. Fundamental concepts of analysis and criticism are presented. Attention will be paid to increasing the student's fluency in writing. Offered alternate years.",Main Building,A,Feat,Humanities,FREN,French,346,0,Spring 2016,2016/02/04,2016/05/19,14:30,16:00,HEPT,Human Expression Primary Text,,0.0,HE,,,,,684
17,97428,FREN-490-A,58505.0,ARR,ARR,,,,,,,,W,A,,Senior Project,1,A.Feat,"02/04/2016-05/19/2016 Independent Studies Days to be Announced, Times to be AnnouncedArranged, Room ARR","The senior project requirement gives students an opportunity to participate in independent study, to read relevant literature in their chosen area, to develop methods of research and analysis appropriate to their selected topic, and to construct a sustained argument in the language of their major. To enrich their work, students will be encouraged to reflect on and use their study-abroad and firsthand cultural experiences as a means of contextualizing their projects. The research pape is written in French and is presented orally as well. If students have another major in addition to French, they are not required to complete a senior project in both majors. ",To be Announced,A,Feat,Humanities,FREN,French,490,0,Spring 2016,2016/02/04,2016/05/19,NA,NA,,,,4.0,,,,,,696
18,97431,GER-101-A,58506.0,MAIN,214,Y,,Y,,Y,,,W,A,MWF,Elementary German I,4,A.Steding,"02/04/2016-05/19/2016 Lecture Monday, Wednesday, Friday 11:00AM - 12:00PM, Main, Room 214","The basic structures of German. Students will learn to understand, speak, read, and write German at a beginner's level and gain awareness of the culture of German-speaking countries. ",Main Building,A,Steding,Humanities,GER,German,101,0,Spring 2016,2016/02/04,2016/05/19,11:00,12:00,,,,0.0,,,,,,701
19,98082,WGST-342-A,58507.0,MAIN,116B,,Y,,Y,,,,W,A,TR,Feminist Rhetorical Theories,4,K.Powell,"02/04/2016-05/19/2016 Lecture Tuesday, Thursday 11:00AM - 12:30PM, Main, Room 116B","This course is a study of feminist rhetorical theories and expression. The class reads texts by feminist rhetorical theorists and rhetors. Special emphasis is placed on the intersection between social, cultural and economic contexts, political influences, and rhetorical strategies of women rhetors challenging Western patriarchy. This course counts as theory requirement for the WGST major. Offered alternate years. (Same as COMS 342)",Main Building,K,Powell,Social Sciences,WGST,Women's Gender Studies,342,0,Spring 2016,2016/02/04,2016/05/19,11:00,12:30,"HBSSM,HIST,HE","Human Behavior Social Science Methods,Historical,Human Expression",COMS 342,0.0,HB,,,,,679
20,97432,GER-102-A,58508.0,LARS,120,Y,,Y,,Y,,,W,A,MWF,Elementary German II,4,E.Steding,"02/05/2016-05/13/2016 Lecture Monday, Wednesday, Friday 08:00AM - 09:00AM, Larsen, Room 120","The basic structures of German. Students will learn to understand, speak, read, and write German at a beginner's level and gain awareness of the culture of German-speaking countries.",Larson Hall,E,Steding,Humanities,GER,German,102,0,Spring 2016,2016/02/04,2016/05/19,08:00,09:00,,,,0.0,,,,,,704
21,97433,GER-102-B,58509.0,MAIN,214,Y,,Y,,Y,,,W,A,MWF,Elementary German II,4,R.Kath,"02/04/2016-05/19/2016 Lecture Monday, Wednesday, Friday 09:15AM - 10:15AM, Main, Room 214","The basic structures of German. Students will learn to understand, speak, read, and write German at a beginner's level and gain awareness of the culture of German-speaking countries.",Main Building,R,Kath,Humanities,GER,German,102,0,Spring 2016,2016/02/04,2016/05/19,09:15,10:15,,,,0.0,,,,,,704
22,98083,COMS-347-A,58510.0,VALD,252,,Y,,Y,,,,W,A,TR,Critical Television Studies,4,T.Johnson,"02/04/2016-05/19/2016 Lecture Tuesday, Thursday 02:30PM - 04:00PM, Valders, Room 252","This course examines television within the context of cultural, aesthetic, technological, textual, regulatory, social, and political practices. There are a number of intersecting aims: to trace the development of television (mainly in the United States, but with attention to global systems); to map the contours of critical TV studies; to understand theories and methods of television scholarship; to theorize television's relationship to consumer culture, history, capitalism, diversity, citizenship, everyday life, and selfhood (among other key concepts); and to entertain new directions in critical TV studies.  Because television is a medium in transition, the extent to which television remains (or has never been) a truly distinct medium, and its current relationship to media convergence, will also be considered.",Valders Hall of Science,T,Johnson,Social Sciences,COMS,Communications,347,0,Spring 2016,2016/02/04,2016/05/19,14:30,16:00,HE,Human Expression,,0.0,,,,,,800
23,98084,COMS-348-A,58511.0,VALD,254,,Y,,Y,,,,W,A,TR,Radio Journalism,4,D.Grouws,"02/04/2016-05/19/2016 Lecture Tuesday, Thursday 11:00AM - 12:30PM, Valders, Room 254","The course addresses the history, theory, and practice of American radio journalism. Topics of study include interviewing, news writing and reporting, hosting, documentary making, sound collecting, and studio and field production techniques.  The course follows primarily the model of non-commercial American radio journalism, especially National Public Radio and Public Radio International.  Students learn both to critically evaluate the work of others and to produce their own examples of these forms of radio journalism. It is strongly recommended that students who enroll in this course have at least one semester of on-air experience with Luther College Radio station KWLC. Offered alternate years.",Valders Hall of Science,D,Grouws,Social Sciences,COMS,Communications,348,0,Spring 2016,2016/02/04,2016/05/19,11:00,12:30,,,,0.0,,,,,,652
24,97297,COMS-330-A,58512.0,MAIN,116B,Y,,Y,,Y,,,W,A,MWF,Family Communication,4,S.Wilder,"02/04/2016-05/19/2016 Lecture Monday, Wednesday, Friday 09:15AM - 10:15AM, Main, Room 116B","In this course, students will examine the role of communication in families, how families shape us as individuals, and how the context of family functions in larger society. Through reading scholarship on family communication, discussion, projects and presentations, we will address questions such as how definitions of family have changed overtime, how individuals define self in relation to family members, how challenges in families are managed, how differences in family forms influence family function, and how communication patterns affect how we interact with and understand each other. Ultimately, this course investigates individual human behavior and human interactions within the societal context of the family. ",Main Building,S,Wilder,Social Sciences,COMS,Communications,330,0,Spring 2016,2016/02/04,2016/05/19,09:15,10:15,HB,Human Behavior,,0.0,,,,,,774
25,97434,GER-201-A,58513.0,MAIN,218,Y,,Y,,Y,,,W,A,MWF,Intermediate German,4,R.Kath,"02/04/2016-05/19/2016 Lecture Monday, Wednesday, Friday 11:00AM - 12:00PM, Main, Room 218","Completion of basic grammatical structures. Beginning composition and conversation through greater emphasis on the creative aspects of language use, i.e., speaking and writing.",Main Building,R,Kath,Humanities,GER,German,201,0,Spring 2016,2016/02/04,2016/05/19,11:00,12:00,,,,0.0,,,,,,705
26,97305,COMS-490-A,58514.0,ARR,ARR,,,,,,,,W,A,,Senior Project,2,"M.Johns,K.Powell,D.Sweet,T.Johnson,S.Wilder","02/04/2016-05/19/2016 Independent Studies Days to be Announced, Times to be AnnouncedArranged, Room ARR",,To be Announced,"M, K, D, T, S","Johns, Powell, Sweet, Johnson, Wilder",Social Sciences,COMS,Communications,490,0,Spring 2016,2016/02/04,2016/05/19,NA,NA,,,,0.0,,,,,,619
27,98086,COMS-233-A,58515.0,MAIN,116B,Y,,Y,,Y,,,W,A,MWF,Rhetoric of Spirituality,4,D.Sweet,"02/04/2016-05/19/2016 Lecture Monday, Wednesday, Friday 02:45PM - 03:45PM, Main, Room 116B","Engaging a variety of spiritual traditions (e.g. Christianity, Judaism, Islam, Buddhism, Taoism, Wicca, New Ageism), this course explores the relationship between communication, U.S. American popular culture, and the constitution of spiritual practice.  Throughout the course, students study how popular spiritual texts contribute to the creation and maintenance of self, other, and spiritual ideologies.  Offered alternate years.",Main Building,D,Sweet,Social Sciences,COMS,Communications,233,0,Spring 2016,2016/02/04,2016/05/19,14:45,15:45,HE,Human Expression,,0.0,,,,,,641
28,98085,GER-346-A,58516.0,MAIN,214,Y,,Y,,Y,,,W,A,MWF,Intro to Ger Lit: Runes to Rap,4,R.Kath,"02/04/2016-05/19/2016 Lecture Monday, Wednesday, Friday 01:30PM - 02:30PM, Main, Room 214","Modern German literature and film often draw from significant works of their artistic predecessors. This course offers a general introduction to the principle literary forms of prose, poetry, and drama, as illustrated by some of the best known authors of the German-speaking world. Attention will be paid to increasing students' fluency in writing. ",Main Building,R,Kath,Humanities,GER,German,346,0,Spring 2016,2016/02/04,2016/05/19,13:30,14:30,"HIST,HEPT","Historical,Human Expression Primary Text",,0.0,HE,,,,,812
29,97300,COMS-357-A,58517.0,MAIN,116B,,Y,,Y,,,,W,A,TR,Research Methods,4,K.Powell,"02/04/2016-05/19/2016 Lecture Tuesday, Thursday 12:45PM - 02:15PM, Main, Room 116B","Students are introduced to communication and rhetorical methods including design of experimental, survey, textual, rhetorical, and ethnographic research.",Main Building,K,Powell,Social Sciences,COMS,Communications,357,0,Spring 2016,2016/02/04,2016/05/19,12:45,14:15,HBSSM,Human Behavior Social Science Methods,,0.0,HB,,,,,618
30,98087,COMS-320-A,58518.0,VALD,252,Y,,,,,,,W,A,M,Urb Amer and Serial Television,4,T.Johnson,"02/04/2016-05/19/2016 Lecture Monday 06:00PM - 09:00PM, Valders, Room 252","Frequently hailed as a masterpiece of American television, ""The Wire"" shines a light on urban decay in contemporary America, creating a dramatic portrait of Baltimore's police, drug trade, shipping docks, city hall, public schools, and newspapers over five serialized seasons.  In this course, we will watch and discuss all of this remarkable - and remarkably entertaining - series, and place it within the dual contexts of contemporary American society and the aesthetics of television.  This course focuses on close viewing and discussion, and opportunities for critical analysis and research about the show's social contexts and aesthetic practices.",Valders Hall of Science,T,Johnson,Social Sciences,COMS,Communications,320,0,Spring 2016,2016/02/04,2016/05/19,18:00,21:00,HEPT,Human Expression Primary Text,,0.0,HE,,,,,750
31,97480,ITAL-102-A,58519.0,MAIN,212,Y,,Y,,Y,,,W,A,MWF,Beginning Italian II,4,F.De Santis,"02/04/2016-05/19/2016 Lecture Monday, Wednesday, Friday 11:00AM - 12:00PM, Main, Room 212","A practical approach to the Italian language, in which the student begins speaking Italian from the first day and completes the year with a basic ability to speak, write, read, and understand Italian. ",Main Building,F,De Santis,Humanities,ITAL,Italian,102,0,Spring 2016,2016/02/04,2016/05/19,11:00,12:00,,,,0.0,,,,,,876
32,97490,LING-131-A,58520.0,MAIN,213,,Y,,Y,,,,W,A,TR,Intro to Linguistics,4,L.Zaring,"02/04/2016-05/19/2016 Lecture Tuesday, Thursday 02:30PM - 04:00PM, Main, Room 213","Every time we utter a word, no matter how mundane, we engage in a remarkable and, to the best of our knowledge, uniquely human behavior.  This course explores the human capacity to acquire and use language.  Topics include the nature of dialectal differences and the sociolinguistic factors which determine them, the ways in which languages vary and the importance of linguistic diversity, and the nature of the knowledge of language and how it relates to child language acquisition and other aspects of human cognition.",Main Building,L,Zaring,Humanities,LING,Linguistics,131,0,Spring 2016,2016/02/04,2016/05/19,14:30,16:00,HB,Human Behavior,,0.0,,,,,,620
33,97142,ACCTG-110-A,58522.0,OLIN,208,,Y,,Y,,,,W,A,TR,Intro to Accounting,2,A.Wrightsman,"02/04/2016-03/18/2016 Lecture - First 7 Weeks Tuesday, Thursday 08:00AM - 09:30AM, Olin, Room 208","A course specifically for students who have had no prior study, at any level, of bookkeeping or accounting. All aspects of the accounting cycle are covered. Open to first-year or sophomore students.",Olin,A,Wrightsman,Sciences,ACCTG,Accounting,110,1,Spring 2016,2016/02/04,2016/03/18,08:00,09:30,,,,0.0,,First seven weeks. Open to FR and SO only.,,,,602
