"Course Sections Id","Sec Name","Course Sec Meeting Id","Csm Start Date","Csm End Date","Csm Bldg","Csm Room","Csm Start Time","Csm End Time","Csm Monday","Csm Tuesday","Csm Wednesday","Csm Thursday","Csm Friday","Csm Saturday","Csm Sunday","Csm Frequency","Sec Status","Csm Days"
"98077","FCUL-142-A","58488","2016/02/04 00:00:00","2016/05/19 00:00:00","LARS","120","1900/01/01 14:30:00","1900/01/01 16:00:00","","Y","","Y","","","","W","A","TR"
"98078","FCUL-243-A","58489","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","212","1900/01/01 12:45:00","1900/01/01 14:15:00","","Y","","Y","","","","W","A","TR"
"98079","WGST-243-A","58490","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","212","1900/01/01 12:45:00","1900/01/01 14:15:00","","Y","","Y","","","","W","A","TR"
"97283","CHIN-102-A","58491","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","116A","1900/01/01 14:45:00","1900/01/01 15:45:00","Y","","Y","","Y","","","W","A","MWF"
"97284","CHIN-202-A","58492","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","116A","1900/01/01 13:30:00","1900/01/01 14:30:00","Y","","Y","","Y","","","W","A","MWF"
"97419","FREN-101-A","58493","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","217","1900/01/01 09:15:00","1900/01/01 10:15:00","Y","","Y","","Y","","","W","A","MWF"
"97420","FREN-102-A","58494","2016/02/04 00:00:00","2016/05/19 00:00:00","VALD","371","1900/01/01 11:00:00","1900/01/01 12:00:00","Y","","Y","","Y","","","W","A","MWF"
"97292","COMS-130-A","58495","2016/02/04 00:00:00","2016/05/19 00:00:00","VALD","252","1900/01/01 12:15:00","1900/01/01 13:15:00","Y","","Y","","Y","","","W","A","MWF"
"97293","COMS-130-B","58496","2016/02/04 00:00:00","2016/05/19 00:00:00","VALD","252","1900/01/01 13:30:00","1900/01/01 14:30:00","Y","","Y","","Y","","","W","A","MWF"
"97421","FREN-102-B","58497","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","217","1900/01/01 08:00:00","1900/01/01 09:30:00","","Y","","Y","","","","W","A","TR"
"97294","COMS-132-A","58498","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","116B","1900/01/01 08:00:00","1900/01/01 09:30:00","","Y","","Y","","","","W","A","TR"
"97422","FREN-201-A","58499","2016/02/04 00:00:00","2016/05/19 00:00:00","VALD","371","1900/01/01 12:15:00","1900/01/01 13:15:00","Y","","Y","","Y","","","W","A","MWF"
"97295","COMS-132-B","58500","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","116B","1900/01/01 13:30:00","1900/01/01 14:30:00","Y","","Y","","Y","","","W","A","MWF"
"97423","FREN-202-A","58501","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","111","1900/01/01 12:45:00","1900/01/01 14:15:00","","Y","","Y","","","","W","A","TR"
"98080","COMS-342-A","58502","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","116B","1900/01/01 11:00:00","1900/01/01 12:30:00","","Y","","Y","","","","W","A","TR"
"97424","FREN-345-A","58503","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","104","1900/01/01 12:45:00","1900/01/01 14:15:00","","Y","","Y","","","","W","A","TR"
"98081","FREN-346-A","58504","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","211","1900/01/01 14:30:00","1900/01/01 16:00:00","","Y","","Y","","","","W","A","TR"
"97428","FREN-490-A","58505","2016/02/04 00:00:00","2016/05/19 00:00:00","ARR","ARR","","","","","","","","","","W","A",""
"97431","GER-101-A","58506","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","214","1900/01/01 11:00:00","1900/01/01 12:00:00","Y","","Y","","Y","","","W","A","MWF"
"98082","WGST-342-A","58507","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","116B","1900/01/01 11:00:00","1900/01/01 12:30:00","","Y","","Y","","","","W","A","TR"
"97432","GER-102-A","58508","2016/02/04 00:00:00","2016/05/19 00:00:00","LARS","120","1900/01/01 08:00:00","1900/01/01 09:00:00","Y","","Y","","Y","","","W","A","MWF"
"97433","GER-102-B","58509","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","214","1900/01/01 09:15:00","1900/01/01 10:15:00","Y","","Y","","Y","","","W","A","MWF"
"98083","COMS-347-A","58510","2016/02/04 00:00:00","2016/05/19 00:00:00","VALD","252","1900/01/01 14:30:00","1900/01/01 16:00:00","","Y","","Y","","","","W","A","TR"
"98084","COMS-348-A","58511","2016/02/04 00:00:00","2016/05/19 00:00:00","VALD","254","1900/01/01 11:00:00","1900/01/01 12:30:00","","Y","","Y","","","","W","A","TR"
"97297","COMS-330-A","58512","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","116B","1900/01/01 09:15:00","1900/01/01 10:15:00","Y","","Y","","Y","","","W","A","MWF"
"97434","GER-201-A","58513","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","218","1900/01/01 11:00:00","1900/01/01 12:00:00","Y","","Y","","Y","","","W","A","MWF"
"97305","COMS-490-A","58514","2016/02/04 00:00:00","2016/05/19 00:00:00","ARR","ARR","","","","","","","","","","W","A",""
"98086","COMS-233-A","58515","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","116B","1900/01/01 14:45:00","1900/01/01 15:45:00","Y","","Y","","Y","","","W","A","MWF"
"98085","GER-346-A","58516","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","214","1900/01/01 13:30:00","1900/01/01 14:30:00","Y","","Y","","Y","","","W","A","MWF"
"97300","COMS-357-A","58517","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","116B","1900/01/01 12:45:00","1900/01/01 14:15:00","","Y","","Y","","","","W","A","TR"
"98087","COMS-320-A","58518","2016/02/04 00:00:00","2016/05/19 00:00:00","VALD","252","1900/01/01 18:00:00","1900/01/01 21:00:00","Y","","","","","","","W","A","M"
"97480","ITAL-102-A","58519","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","212","1900/01/01 11:00:00","1900/01/01 12:00:00","Y","","Y","","Y","","","W","A","MWF"
"97490","LING-131-A","58520","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","213","1900/01/01 14:30:00","1900/01/01 16:00:00","","Y","","Y","","","","W","A","TR"
"97142","ACCTG-110-A","58522","2016/02/04 00:00:00","2016/03/18 00:00:00","OLIN","208","1900/01/01 08:00:00","1900/01/01 09:30:00","","Y","","Y","","","","W","A","TR"
"98088","LING-245-A","58524","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","213","1900/01/01 12:45:00","1900/01/01 14:15:00","","Y","","Y","","","","W","A","TR"
"97494","LING-490-A","58525","2016/02/04 00:00:00","2016/05/19 00:00:00","ARR","ARR","","","","","","","","","","W","A",""
"97994","RUS-102-A","58526","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","211","1900/01/01 09:15:00","1900/01/01 10:15:00","Y","","Y","","Y","","","W","A","MWF"
"97144","ACCTG-150-A","58527","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","207","1900/01/01 09:15:00","1900/01/01 10:15:00","Y","","Y","","Y","","","W","A","MWF"
"97145","ACCTG-150-B","58528","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","207","1900/01/01 11:00:00","1900/01/01 12:00:00","Y","","Y","","Y","","","W","A","MWF"
"97146","ACCTG-150-C","58529","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","207","1900/01/01 12:15:00","1900/01/01 13:15:00","Y","","Y","","Y","","","W","A","MWF"
"97147","ACCTG-250-A","58530","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","208","1900/01/01 09:15:00","1900/01/01 10:15:00","Y","","Y","","Y","","","W","A","MWF"
"97148","ACCTG-354-A","58531","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","208","1900/01/01 12:15:00","1900/01/01 13:15:00","Y","","Y","","Y","","","W","A","MWF"
"97151","ACCTG-468-A","58532","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","101","1900/01/01 11:00:00","1900/01/01 12:00:00","Y","","Y","","Y","","","W","A","MWF"
"97152","ACCTG-490-A","58533","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","201","1900/01/01 12:45:00","1900/01/01 14:15:00","","Y","","Y","","","","W","A","TR"
"97153","ACCTG-490-B","58534","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","209","1900/01/01 12:45:00","1900/01/01 14:15:00","","Y","","Y","","","","W","A","TR"
"98089","ACCTG-357-A","58535","2016/02/04 00:00:00","2016/03/18 00:00:00","OLIN","207","1900/01/01 13:30:00","1900/01/01 14:30:00","Y","","Y","","Y","","","W","A","MWF"
"97331","ECON-130-A","58536","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","206","1900/01/01 08:00:00","1900/01/01 09:00:00","Y","","Y","","Y","","","W","A","MWF"
"97332","ECON-130-B","58537","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","206","1900/01/01 09:15:00","1900/01/01 10:15:00","Y","","Y","","Y","","","W","A","MWF"
"97333","ECON-142-A","58538","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","201","1900/01/01 08:00:00","1900/01/01 09:30:00","","Y","","Y","","","","W","A","TR"
"97334","ECON-142-B","58539","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","201","1900/01/01 11:00:00","1900/01/01 12:30:00","","Y","","Y","","","","W","A","TR"
"97335","ECON-248-A","58540","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","107","1900/01/01 09:15:00","1900/01/01 10:15:00","Y","","Y","","Y","","","W","A","MWF"
"97339","ECON-490-A","58542","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","201","1900/01/01 14:30:00","1900/01/01 15:45:00","","Y","","Y","","","","W","A","TR"
"97337","ECON-255-A","58543","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","107","1900/01/01 08:00:00","1900/01/01 09:30:00","","Y","","Y","","","","W","A","TR"
"98090","ECON-268-A","58544","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","107","1900/01/01 12:45:00","1900/01/01 14:15:00","","Y","","Y","","","","W","A","TR"
"98091","ECON-366-A","58545","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","206","1900/01/01 13:30:00","1900/01/01 14:30:00","Y","","Y","","Y","","","W","A","MWF"
"97521","MGT-150-A","58546","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","213","1900/01/01 11:00:00","1900/01/01 12:00:00","Y","","Y","","Y","","","W","A","MWF"
"97522","MGT-150-B","58547","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","213","1900/01/01 12:15:00","1900/01/01 13:15:00","Y","","Y","","Y","","","W","A","MWF"
"97523","MGT-240-A","58548","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","208","1900/01/01 11:00:00","1900/01/01 12:00:00","Y","","Y","","Y","","","W","A","MWF"
"97524","MGT-240-B","58549","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","208","1900/01/01 13:30:00","1900/01/01 14:30:00","Y","","Y","","Y","","","W","A","MWF"
"97525","MGT-250-A","58550","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","213","1900/01/01 13:30:00","1900/01/01 14:30:00","Y","","Y","","Y","","","W","A","MWF"
"98093","MGT-371-A","58551","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","213","1900/01/01 11:00:00","1900/01/01 12:30:00","","Y","","Y","","","","W","A","TR"
"97529","MGT-351-A","58552","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","101","1900/01/01 08:00:00","1900/01/01 09:00:00","Y","","Y","","Y","","","W","A","MWF"
"97530","MGT-351-B","58553","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","101","1900/01/01 09:15:00","1900/01/01 10:15:00","Y","","Y","","Y","","","W","A","MWF"
"97531","MGT-352-A","58554","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","207","1900/01/01 08:00:00","1900/01/01 09:30:00","","Y","","Y","","","","W","A","TR"
"97532","MGT-352-B","58555","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","207","1900/01/01 11:00:00","1900/01/01 12:30:00","","Y","","Y","","","","W","A","TR"
"97533","MGT-353-A","58556","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","101","1900/01/01 12:15:00","1900/01/01 13:15:00","Y","","Y","","Y","","","W","A","MWF"
"98094","MGT-353-B","58557","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","101","1900/01/01 13:30:00","1900/01/01 14:30:00","Y","","Y","","Y","","","W","A","MWF"
"97535","MGT-362-A","58558","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","208","1900/01/01 18:30:00","1900/01/01 21:30:00","Y","","","","","","","W","A","M"
"97536","MGT-364-A","58559","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","101","1900/01/01 12:45:00","1900/01/01 14:15:00","","Y","","Y","","","","W","A","TR"
"97537","MGT-365-A","58560","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","209","1900/01/01 09:15:00","1900/01/01 10:15:00","Y","","Y","","Y","","","W","A","MWF"
"98095","MGT-367-A","58561","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","107","1900/01/01 11:00:00","1900/01/01 12:00:00","Y","","Y","","Y","","","W","A","MWF"
"97541","MGT-490-A","58562","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","209","1900/01/01 14:30:00","1900/01/01 15:45:00","","Y","","","","","","W","A","T"
"97542","MGT-490-B","58563","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","209","1900/01/01 14:30:00","1900/01/01 15:45:00","","","","Y","","","","W","A","R"
"97544","MGT-490-D","58565","2016/02/04 00:00:00","2016/05/19 00:00:00","ARR","ARR","","","","","","","","","","W","A",""
"97545","MGT-490-F","58566","2016/02/04 00:00:00","2016/05/19 00:00:00","ARR","ARR","","","","","","","","","","W","A",""
"97546","MGT-490-G","58567","2016/02/04 00:00:00","2016/05/19 00:00:00","ARR","ARR","","","","","","","","","","W","A",""
"97547","MGT-490-H","58568","2016/02/04 00:00:00","2016/05/19 00:00:00","ARR","ARR","","","","","","","","","","W","A",""
"98096","MGT-490-I","58569","2016/02/04 00:00:00","2016/05/19 00:00:00","ARR","ARR","","","","","","","","","","W","A",""
"97995","RUS-202-A","58570","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","211","1900/01/01 11:00:00","1900/01/01 12:00:00","Y","","Y","","Y","","","W","A","MWF"
"98006","SCST-102-A","58571","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","217","1900/01/01 11:00:00","1900/01/01 12:00:00","Y","","Y","","Y","","","W","A","MWF"
"98007","SCST-102-B","58572","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","212","1900/01/01 13:30:00","1900/01/01 14:30:00","Y","","Y","","Y","","","W","A","MWF"
"98008","SCST-102-C","58573","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","217","1900/01/01 14:45:00","1900/01/01 15:45:00","Y","","Y","","Y","","","W","A","MWF"
"98009","SCST-202-A","58574","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","218","1900/01/01 08:00:00","1900/01/01 09:30:00","","Y","","Y","","","","W","A","TR"
"98099","SCST-251-A","58575","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","209","1900/01/01 11:00:00","1900/01/01 12:30:00","","Y","","Y","","","","W","A","TR"
"98100","FCUL-251-A","58576","2016/02/04 00:00:00","2016/05/19 00:00:00","OLIN","209","1900/01/01 11:00:00","1900/01/01 12:30:00","","Y","","Y","","","","W","A","TR"
"98023","SPAN-101-A","58577","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","212","1900/01/01 08:00:00","1900/01/01 09:00:00","Y","","Y","","Y","","","W","A","MWF"
"98024","SPAN-102-A","58578","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","218","1900/01/01 13:30:00","1900/01/01 14:30:00","Y","","Y","","Y","","","W","A","MWF"
"98026","SPAN-201-A","58580","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","213","1900/01/01 08:00:00","1900/01/01 09:00:00","Y","","Y","","Y","","","W","A","MWF"
"98027","SPAN-201-B","58581","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","218","1900/01/01 09:15:00","1900/01/01 10:15:00","Y","","Y","","Y","","","W","A","MWF"
"98028","SPAN-201-C","58582","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","217","1900/01/01 12:15:00","1900/01/01 13:15:00","Y","","Y","","Y","","","W","A","MWF"
"97404","ENVS-134-A","58583","2016/02/04 00:00:00","2016/05/19 00:00:00","VALD","206","1900/01/01 09:15:00","1900/01/01 10:15:00","Y","","Y","","Y","","","W","A","MWF"
"97405","ENVS-134L-A01","58584","2016/02/04 00:00:00","2016/05/19 00:00:00","VALD","384","1900/01/01 12:45:00","1900/01/01 15:45:00","","Y","","","","","","W","A","T"
"97406","ENVS-134L-A02","58585","2016/02/04 00:00:00","2016/05/19 00:00:00","VALD","384","1900/01/01 13:30:00","1900/01/01 16:30:00","","","Y","","","","","W","A","W"
"98029","SPAN-201-D","58586","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","217","1900/01/01 13:30:00","1900/01/01 14:30:00","Y","","Y","","Y","","","W","A","MWF"
"98030","SPAN-302-A","58587","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","212","1900/01/01 09:15:00","1900/01/01 10:15:00","Y","","Y","","Y","","","W","A","MWF"
"98031","SPAN-302-B","58588","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","212","1900/01/01 12:15:00","1900/01/01 13:15:00","Y","","Y","","Y","","","W","A","MWF"
"98032","SPAN-303-A","58589","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","214","1900/01/01 11:00:00","1900/01/01 12:30:00","","Y","","Y","","","","W","A","TR"
"98033","SPAN-303-B","58590","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","214","1900/01/01 14:30:00","1900/01/01 16:00:00","","Y","","Y","","","","W","A","TR"
"98034","SPAN-339-A","58591","2016/02/04 00:00:00","2016/05/19 00:00:00","MAIN","212","1900/01/01 12:45:00","1900/01/01 14:15:00","","Y","","Y","","","","W","A","TR"
